Name,Gender,Aadhar number,age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,smoking,Pulse Rate,chol,Total_Bilirubin,Direct_Bilirubin,Alkaline_Phosphotase,Alamine_Aminotransferase,Aspartate_Aminotransferase,Total_Protiens,Albumin,Bp,Hemo,Wbcc,Rbcc,Sod,Pot
poonam,f,431181921473    ,53,0,196,0,60,0,220000,0.7,133,1,10,229,75,3.6,332,40,66,6.2,2.5,60,12.53,8406,4.71,127,4.3
pooran chand sharma,m,297626415667    ,59,0,66,1,20,0,70000,2.4,134,0,10,268,3,1.5,292,64,67,5.6,1.8,70,12.7,2200,4.71,137.53,4.63
pooran chand sharma,m,672814250567    ,65,0,582,1,40,0,270000,1,138,0,10,254,22.8,12.6,962,53,41,6.9,3.3,70,11,6700,4.71,137.53,4.63
preetam kumar,m,228809881689    ,70,0,835,0,35,1,305000,0.8,133,0,12,203,8.9,4,950,33,32,6.8,3.1,70,8.7,8406,4.71,137.53,4.63
preeti,f,879486873412    ,51,1,582,1,35,0,263358.03,1.5,136,1,12,256,1.7,0.8,200,28,37,6.2,3,70,12.5,9600,4.4,131,3.9
preeti,f,844770824170    ,52,0,3966,0,40,0,325000,0.9,140,1,10,229,1.9,0.6,298,378,602,6.6,3.3,70,8.7,12800,3.1,115,5.7
priti,f,301589891218    ,70,1,171,0,60,1,176000,1.1,145,1,14,284,14.1,7.6,750,35,63,5,1.6,80,10.6,12800,4.9,130,2.5
priya,f,634419479154    ,50,1,115,0,20,0,189000,0.8,139,0,14,224,0.6,0.1,175,48,34,6,3.7,70,13.1,11200,4.71,145,2.8
priya jain,f,899522538612    ,65,0,198,1,35,1,281000,0.9,137,1,13,206,0.6,0.1,175,48,34,6,3.7,70,11,8600,4.6,141,4.7
priya sexena,f,848157359552    ,60,1,95,0,60,0,337000,1,138,1,10,167,0.8,0.2,198,43,31,7.3,4,50,12.53,4200,3.4,113,3
priyanka,f,383258556001    ,69,0,1419,0,40,0,105000,1,135,1,10,230,0.8,0.2,482,112,99,5.7,2.6,90,8.3,12400,3.9,125,3.5
priyanka,f,974786187014    ,49,1,69,0,50,0,132000,1,140,0,10,335,14.8,9,1020,71,42,5.3,2.2,80,13.2,8406,4.71,137.53,4.63
priyanka,f,607001906434    ,63,1,122,1,60,0,267000,1.2,145,0,10,177,10.6,5,562,37,29,5.1,1.8,90,9.8,9800,4.71,139,4.3
priynka,f,475798814584    ,55,0,835,0,40,0,279000,0.7,140,1,10,276,8,4.6,386,30,25,5.5,1.8,90,11.9,8406,4.71,137.53,4.63
pulkit sharma,m,709966609366    ,40,0,478,1,30,0,303000,0.9,136,0,10,353,2.8,1.3,250,23,29,2.7,0.9,90,10.3,8406,4.71,137.53,4.63
punit khandelwal,m,784169316894    ,59,1,176,1,25,0,221000,1,136,1,10,225,2.9,1.3,218,33,37,3,1.5,70,10,19100,3.7,136,3.8
rahul,m,541671510242    ,65,0,395,1,25,0,265000,1.2,136,1,10,330,1.9,0.8,170,36,43,3.8,1.4,80,11.3,8406,4.71,140,4.1
rahul,m,895261386690    ,75,0,99,0,38,1,224000,2.5,134,0,10,230,0.6,0.1,171,20,17,5.4,2.5,70,12.53,8406,4.71,135,4.3
rahul,m,744010840815    ,58,1,145,0,25,0,219000,1.2,137,1,12,243,1.1,0.4,201,18,19,6.9,4.1,60,11.3,5800,3.6,133,4.5
rahul kumar,m,412382240443    ,60.667,1,104,1,30,0,389000,1.5,136,0,12,290,1.5,0.4,298,60,103,6,3,76,12,8406,4.71,138,4.4
rahul sharma,m,240116489383    ,50,0,582,0,50,0,153000,0.6,134,0,10,253,3.2,1.8,750,79,145,7.8,3.2,50,12.53,8406,4.71,135,3.8
raj kumar,m,554319977111    ,60,0,1896,1,25,0,365000,2.1,144,0,14,266,2.1,1,191,114,247,4,1.6,76,10.7,12300,4.71,137.53,4.63
raj kumari,f,357602149191    ,60.667,1,151,1,40,1,201000,1,136,0,14,233,1.9,0.8,614,42,38,4.5,1.8,76,12.2,8406,4.71,142,3.6
raja babu,m,542953699340    ,40,0,244,0,45,1,275000,0.9,140,0,12,172,0.8,0.2,218,32,28,5.2,2.5,60,9.5,7500,3.4,137,5.4
rajeev,m,894369078384    ,80,0,582,1,35,0,350000,2.1,134,0,12,305,6.3,3.2,314,118,114,6.6,3.7,60,9.9,16700,4.8,135,4.9
rajender,m,951038099768    ,64,1,62,0,60,0,309000,1.5,135,0,10,216,5.8,3,257,107,104,6.6,3.5,70,9.1,9200,3.4,134,2.7
rajkumar chawla,m,776090296449    ,50,1,121,1,40,0,260000,0.7,130,0,14,188,2.3,0.6,272,79,51,6.6,3.5,110,12.53,8406,4.71,137.53,4.63
raju @ chhotu,m,301161900283    ,73,1,231,1,30,0,160000,1.18,142,1,14,282,1.3,0.4,206,30,25,6,3.1,90,5.5,2600,2.8,113,6.5
rakesh sarkar,m,243936213119    ,45,0,582,0,20,1,126000,1.6,135,0,13,185,2,0.6,209,48,32,5.7,3,70,12.53,8406,4.71,137.53,4.63
rakhi,f,556744705316    ,77,1,418,0,45,0,223000,1.8,145,0,10,326,2.4,1,1124,30,54,5.2,1.9,90,5.8,8406,4.71,138,3.9
rakhi @payal,f,958621364421    ,45,0,582,1,38,1,263358.03,1.18,137,0,10,231,2,1.1,664,52,104,6,2.1,100,8.1,9600,3.5,122,3.2
ram dutt gupta,m,733178059185    ,65,0,167,0,30,0,259000,0.8,138,0,10,254,0.6,0.2,142,12,32,5.7,2.4,80,6.8,4300,3,124,5.3
ram kumar,m,842227037944    ,50,1,582,1,20,1,279000,1,134,0,10,267,0.9,0.2,169,22,18,6.1,3,100,11.2,26400,3.9,137,4.7
ram kumar,m,458697339086    ,60,0,1211,1,35,0,263358.03,1.8,113,1,10,248,27.2,11.8,1420,790,1050,6.1,2,80,8.8,10700,3.2,140,5.2
ram singh,m,508753870995    ,63,1,1767,0,45,0,73000,0.7,137,0,10,197,0.6,0.1,218,50,53,5,2.4,90,12,7900,3.9,140,4.1
ramdin verma,m,744762193539    ,45,0,308,1,60,1,377000,1,136,0,10,258,0.6,0.1,218,50,53,5,2.4,70,7.9,8406,4.71,137,4.3
ranju,f,647679354201    ,70,0,97,0,60,1,220000,0.9,138,0,10,270,0.8,0.2,145,19,23,6.1,3.1,60,8,8406,4.71,135,5.9
reena,f,604394591033    ,60,0,59,0,25,1,212000,3.5,136,1,10,274,1,0.3,142,27,21,6.4,3.5,90,8.5,8406,4.71,142,5.5
reena,f,316008965377    ,78,1,64,0,40,0,277000,0.7,137,1,10,164,0.7,0.2,135,27,26,6.4,3.3,90,8.8,8406,4.71,145,6.3
reena devi,f,602426542600    ,50,1,167,1,45,0,362000,1,136,0,10,255,2.5,1.2,163,28,22,7.6,4,70,12.6,8406,4.71,137.53,4.63
rekha,f,868737548646    ,40,1,101,0,40,0,226000,0.8,141,0,12,239,3.6,1.8,285,50,60,7,2.9,70,13.8,8406,4.71,135,4
renu @ rinki,f,498629573999    ,85,0,212,0,38,0,186000,0.9,136,0,12,258,3.9,1.7,350,950,1500,6.7,3.8,70,12,10400,4.6,137.53,4.63
rijul aggarwal,m,991231676657    ,60,1,2281,1,40,0,283000,1,141,0,10,188,0.9,0.3,220,53,95,6.1,2.8,80,12.3,6900,4.9,137.53,4.63
rimmi singh,f,702641011177    ,49,0,972,1,35,1,268000,0.8,130,0,14,177,0.9,0.3,189,23,33,6.6,3.9,70,11.5,6900,4.71,137.53,4.63
rinku malav,f,500445007459    ,70,0,212,1,17,1,389000,1,136,1,14,229,0.8,0.3,190,20,14,4.1,2.4,100,7.3,9800,3.9,135,5.7
riya masi,f,443651633354    ,50,0,582,0,62,1,147000,0.8,140,1,13,260,2.7,1.3,219,60,180,7,3.2,120,12.53,8406,4.71,137.53,4.63
riyasat ali,m,355823050460    ,78,0,224,0,50,0,481000,1.4,138,1,10,219,2.7,1,160,82,127,5.5,3.1,70,10.9,8800,3.4,132,5.6
rizwan,m,753751258961    ,48,1,131,1,30,1,244000,1.6,130,0,10,307,0.9,0.2,401,25,58,7.5,3.4,80,10.9,7400,3.7,137,4.9
rohit,m,225302747251    ,65,1,135,0,35,1,290000,0.8,134,0,10,249,1.7,1,180,18,34,7.2,3.6,80,13.7,4900,5.2,137.53,4.63
rohit,m,813003586608    ,73,0,582,0,35,1,203000,1.3,134,0,10,341,0.6,0.2,100,17,148,5,3.3,76,12.53,8406,4.71,137.53,4.63
rohit,m,522340838273    ,70,0,1202,0,50,1,358000,0.9,141,0,10,263,0.9,0.2,116,36,16,6.2,3.2,70,12.8,8406,4.71,137.53,4.63
rohit,m,480300138420    ,54,1,427,0,70,1,151000,9,137,0,10,330,1.1,0.5,159,30,31,7,4.3,100,12.2,10500,4.3,141,4.4
roshni,f,554644328321    ,68,1,1021,1,35,0,271000,1.1,134,0,10,254,0.6,0.1,289,38,30,4.8,2,90,11.8,7000,4.71,137.53,4.63
ruby,f,700860551197    ,55,0,582,1,35,1,371000,0.7,140,0,10,256,0.8,0.2,125,41,39,6.4,3.4,90,9.8,8000,3.3,137.53,4.63
rupesh,m,556246817399    ,73,0,582,0,20,0,263358.03,1.83,134,0,10,407,0.8,0.2,147,27,46,5,2.5,80,11.9,8800,4.71,137.53,4.63
salima,f,571122327254    ,65,0,118,0,50,0,194000,1.1,145,1,10,217,0.9,0.2,192,38,24,7.3,4.3,70,12.53,8406,4.71,138,5.3
sandeep,m,901890650262    ,42,1,86,0,35,0,365000,1.1,139,1,12,282,0.9,0.2,265,40,28,8,4,60,12.53,8406,4.71,137.53,4.63
sandeep,m,358492340495    ,47,0,582,0,25,0,130000,0.8,134,0,12,288,1.1,0.3,175,20,19,7.1,4.5,90,13,9200,4.6,136,4.1
sandhya,f,860765648395    ,58,0,582,1,25,0,504000,1,138,0,10,239,1.7,0.5,400,56,44,5.7,3.1,60,12.53,8406,4.71,138,3.8
sandhya,f,884670184130    ,75,0,675,1,60,0,265000,1.4,125,0,14,174,0.6,0.2,120,45,51,7.9,4,90,11.5,12000,4.5,131,3.8
sanjay,m,431897378847    ,58,1,57,0,25,0,189000,1.3,132,1,14,281,1.3,0.4,173,38,62,8,4,100,7.9,7500,3.4,140,4.6
sanjay,m,225794944697    ,55,1,2794,0,35,1,141000,1,140,0,13,198,0.7,0.2,186,18,15,6.4,3.8,80,11.3,7200,3.8,137.53,4.63
sanjay charee,m,900345290604    ,65,0,56,0,25,0,237000,5,130,0,10,288,1,0.3,202,26,13,5.3,2.6,70,12.53,8406,4.71,137.53,4.63
santlal@golu,m,278787130645    ,72,0,211,0,25,0,274000,1.2,134,0,10,309,0.6,0.2,290,26,21,6,3,50,9.6,15700,3.8,114,2.9
santna,f,750624207071    ,60,0,166,0,30,0,62000,1.7,127,0,10,243,1.5,0.6,196,61,85,6.7,3.8,60,12.53,9500,4.71,130,4.3
santosh,m,363133870517    ,70,0,93,0,35,0,185000,1.1,134,1,10,289,0.8,0.1,282,85,231,8.5,4.3,90,11.5,8406,4.71,138,3.7
santosh,m,219193507039    ,40,1,129,0,35,0,255000,0.9,137,0,10,289,2.7,1.6,157,149,156,7.9,3.1,90,12.53,8406,4.71,137.53,4.63
sarain,m,467158165356    ,53,1,707,0,38,0,330000,1.4,137,1,12,246,2,1.4,2110,48,89,6.2,3,100,12.53,8406,4.71,146,4.5
sarojani,f,343037938554    ,53,1,582,0,45,0,305000,1.1,137,1,12,322,0.9,0.2,285,32,27,7.7,3.5,100,15,4100,5.2,137.53,4.63
sarvesh,m,837897749467    ,77,1,109,0,50,1,406000,1.1,137,0,10,299,1.5,0.6,360,230,298,4.5,2,70,7.9,5700,4.71,137.53,4.63
sashi mittal,f,527149823804    ,75,0,119,0,50,1,248000,1.1,148,0,14,300,0.8,0.2,300,57,40,7.9,3.8,80,9.1,8406,4.71,136,5.4
"savita, sagar, panap",f,997907768102    ,70,0,232,0,30,0,173000,1.2,132,0,14,293,0.9,0.3,158,20,16,8,4,70,12.7,9600,4.71,137.53,4.63
seema,f,569889438794    ,65,1,720,1,40,0,257000,1,136,0,13,304,0.9,0.2,190,40,35,7.3,4.7,100,9.4,8406,4.71,127,4.8
sevak @ pitambar lal,m,779961740830    ,55,1,180,0,45,0,263358.03,1.18,137,1,10,282,0.9,0.3,196,69,48,6.8,3.1,90,11.9,8406,4.71,137,4.1
shafibul,m,375113073758    ,70,0,81,1,35,1,533000,1.3,139,0,10,269,0.7,0.2,165,32,30,8,4,70,11.4,5000,4.1,137.53,4.63
shajiya,f,966418119100    ,65,0,582,1,30,0,249000,1.3,136,1,10,249,0.8,0.2,230,24,46,6.5,3.1,70,10.4,4200,3.9,140,3.3
shakshi,f,401595263851    ,40,0,90,0,35,0,255000,1.1,136,1,10,212,0.8,0.2,205,30,23,8.2,4.1,70,9.4,11500,3.3,120,3.9
shakshi sagar,f,682240599235    ,73,1,1185,0,40,1,220000,0.9,141,0,10,274,0.9,0.2,316,25,23,8.5,5.5,90,13.4,11000,6.1,138,2.9
shanti devi,f,555534140426    ,54,0,582,1,38,0,264000,1.8,134,0,10,184,0.8,0.2,218,20,19,6.3,2.5,90,12.2,9800,4.6,135,4.1
sharat chandran,m,894955464439    ,61,1,80,1,38,0,282000,1.4,137,0,10,274,0.9,0.2,290,15,18,6.1,2.8,100,6.3,7200,2.6,135,6.3
sheak shakir,m,220951334043    ,55,0,2017,0,25,0,314000,1.1,138,0,10,409,1.8,9,272,22,79,6.1,2.7,110,8.6,5000,2.5,120,5.7
sheetal,f,876949596511    ,64,0,143,0,25,0,246000,2.4,135,0,10,246,0.9,0.2,190,25,28,5.9,2.7,90,12.53,8406,4.71,140,4.2
shehnaz,f,800194560789    ,40,0,624,0,35,0,301000,1,142,1,10,283,0.7,0.1,202,37,29,5,2.6,70,12.6,10200,4.1,138,4.5
shelender yadav,m,331141204164    ,53,0,207,1,40,0,223000,1.2,130,0,12,254,1.2,0.3,498,28,25,7,3,90,3.1,5400,2.1,124,6.5
shiv prakash,m,975787074015    ,50,0,2522,0,30,1,404000,0.5,139,0,12,298,2.1,1.3,480,38,22,6.5,3,80,15,10400,4.5,135,5
shiv shakti singh,m,958722986091    ,55,0,572,1,35,0,231000,0.8,143,0,10,247,0.9,0.8,680,37,40,5.9,2.6,80,17,9800,5,150,4.6
shivam,m,493191846961    ,50,0,245,0,45,1,274000,1,133,0,14,294,1.1,0.3,258,48,40,7,3.9,80,15.9,9100,4.7,147,4.4
shivani,f,787337406320    ,70,0,88,1,35,1,236000,1.2,132,0,14,299,0.6,0.2,180,12,15,5.2,2.7,80,15.4,6200,6.2,135,4.7
shivani,f,671715110846    ,53,1,446,0,60,1,263358.03,1,139,0,13,273,0.7,0.1,152,90,21,7.1,4.2,60,13,8300,5.2,135,3.7
shyam kumar,m,827777757454    ,52,1,191,1,30,1,334000,1,142,1,10,309,1.7,0.7,859,89,48,6,3,80,13.6,9200,6.3,144,3.9
silender,m,933753939293    ,65,0,326,0,38,0,294000,1.7,139,0,10,259,0.9,0.3,901,23,17,6.2,3.5,80,14.5,10700,5.1,146,5
sitara,f,642029350759    ,58,0,132,1,38,1,253000,1,139,0,10,200,0.8,0.2,335,148,86,5.6,3,60,14,9100,5.8,135,3.7
smt shyani devi,f,632326119355    ,45,1,66,1,25,0,233000,0.8,135,0,10,244,0.8,0.2,182,31,34,6.4,3.8,80,13.9,8400,5.5,140,3.5
smt. gyatri devi,f,842671946640    ,53,0,56,0,50,0,308000,0.7,135,1,10,231,30.5,14.2,285,65,130,5.2,2.1,80,16.1,4300,5.2,135,5
smt.farhana baigum,f,529009931802    ,55,0,66,0,40,0,203000,1,138,0,10,228,16.4,8.9,245,56,87,5.4,2,80,14.1,9400,5.3,147,3.8
sna,f,660396596690    ,62,1,655,0,40,0,283000,0.7,133,0,10,230,1.5,7,505,205,140,7.5,3.9,80,17,5600,4.9,139,3.9
sohni,f,278041351916    ,65,1,258,1,25,0,198000,1.4,129,0,10,282,0.8,0.2,228,55,54,6.9,4,80,15.5,7200,5.4,135,3.6
sonam,f,488349136685    ,68,1,157,1,60,0,208000,1,140,0,10,269,0.8,0.2,185,25,21,7,3,80,16.2,8600,5.2,137,5
sonam,f,407217028346    ,61,0,582,1,38,0,147000,1.2,141,0,12,206,0.8,0.2,247,55,92,7.4,4.3,80,14.4,5000,4.5,140,4.1
sonia,f,823933300984    ,50,1,298,0,35,0,362000,0.9,140,1,12,212,0.9,0.2,348,30,34,8,4,80,14.2,10500,5,150,4.5
sparsh,m,908856144248    ,55,0,1199,0,20,0,263358.03,1.83,134,1,10,327,1.2,0.4,195,38,54,6.3,3.8,80,13.2,6800,5.3,135,4.8
suman,f,207816901799    ,56,1,135,1,38,0,133000,1.7,140,0,14,149,0.9,0.3,140,12,29,7.4,3.5,80,13.9,9500,4.8,146,3.9
sumit,m,201953494905    ,45,0,582,1,38,0,302000,0.9,140,0,14,286,14.5,6.4,358,50,75,5.7,2.1,80,16.3,8500,4.9,140,5
sumit,m,690115606397    ,40,0,582,1,35,0,222000,1,132,0,12,283,0.6,0.1,110,15,20,2.8,1.6,80,15,6900,5.3,142,4.9
sumit mitra,m,893340612075    ,44,0,582,1,30,1,263358.03,1.6,130,1,12,249,0.7,0.2,235,96,54,9.5,4.9,80,14.3,7200,5,145,4
sunder paal,m,974328395259    ,51,0,582,1,40,0,221000,0.9,134,0,10,234,0.8,0.2,460,152,231,6.5,3.2,80,13.8,9000,4.5,144,4.8
sunita,f,989119132820    ,67,0,213,0,38,0,215000,1.2,133,0,14,237,18.5,9.5,380,390,500,8.2,4.1,80,14.8,5600,5.5,135,5
sunita,f,307950416869    ,42,0,64,0,40,0,189000,0.7,140,0,14,234,0.7,0.2,262,15,18,9.6,4.7,80,12.53,8406,4.71,140,4.1
sunita,f,517132542825    ,60,1,257,1,30,0,150000,1,137,1,13,275,1.8,0.8,196,25,22,8,4,80,14.4,8406,4.71,141,4.2
supriyal sen,m,256745942624    ,45,0,582,0,38,1,422000,0.8,137,0,10,212,1.9,0.8,180,22,19,8.2,4.1,80,16.5,4700,4.6,139,4.6
suraj,m,767894149912    ,70,0,618,0,35,0,327000,1.1,142,0,10,218,0.9,0.2,190,25,20,6.4,3.6,60,14,4500,5.5,137,4.7
surender singh chauhan,m,422972572142    ,70,0,582,1,38,0,25100,1.1,140,0,10,261,2,0.8,190,45,40,6,2.8,60,15.7,6300,4.8,135,5
swati joshi,f,370678402666    ,50,1,1051,1,30,0,232000,0.7,136,0,10,319,2.2,0.8,209,25,20,8,4,60,14.5,9400,6.4,142,4.9
tammanne,m,758591343270    ,55,0,84,1,38,0,451000,1.3,136,0,10,166,1,1.4,144,18,14,8.3,4.2,70,16.3,5800,5.6,140,4.7
tapas das,f,950685735085    ,70,0,2695,1,40,0,241000,1,137,0,10,315,0.8,0.2,123,56,48,6,3,80,13.3,8100,5.2,144,4.5
vandana,f,490588294894    ,70,0,582,0,40,0,51000,2.7,136,1,10,204,0.7,0.2,192,18,15,7.4,4.2,80,15.5,9100,6,147,5
vandana,f,459705734205    ,42,0,64,0,30,0,215000,3.8,128,1,10,218,0.7,0.2,188,12,14,7,3.4,70,14.6,5500,4.8,135,3.8
vansu dev,m,465187488210    ,65,0,1688,0,38,0,263358.03,1.1,138,1,10,223,1.3,0.7,316,10,21,6,2.1,70,16.4,10800,5.7,137.53,4.63
vansu dev,m,878619563183    ,50,1,54,0,40,0,279000,0.8,141,0,10,207,0.9,0.3,300,30,48,8,4,80,16.9,6700,6,142,4
versa,f,547631348217    ,55,1,170,1,40,0,336000,1.2,135,0,10,311,1.5,0.5,575,29,24,7.9,3.9,70,16,5300,5.9,135,3.9
versha,f,987633446650    ,60,0,253,0,35,0,279000,1.7,140,0,12,204,0.8,0.2,192,15,12,8.6,4.7,70,14.7,9800,6,145,5
vidhi,f,499022369308    ,45,0,582,1,55,0,543000,1,132,0,12,232,1.3,0.6,155,15,20,8,4,70,13.4,8406,4.71,137,3.8
vijay,m,297883676353    ,65,0,892,1,35,0,263358.03,1.1,142,0,10,335,1,0.5,239,16,39,7.5,3.7,70,15.9,11000,5.1,135,4.9
vikash,m,408500195395    ,90,1,337,0,38,0,390000,0.9,144,0,14,205,4.5,2.3,315,120,105,7,4,70,16.6,7100,5.3,143,4.7
vikram singh,m,560381906748    ,45,0,615,1,55,0,222000,0.8,141,0,14,203,1,0.3,250,48,44,8.6,4.3,70,14.8,8400,5.9,146,3.5
vimla,f,220425912510    ,60,0,320,0,35,0,133000,1.4,139,0,13,318,0.7,0.2,174,32,14,7.8,4.2,80,14.9,7000,5.7,140,4.9
vinit katariya,m,809732791324    ,52,0,190,1,38,0,382000,1,140,1,10,225,0.6,0.2,245,22,24,7.1,3.4,80,16.7,10200,5,139,5
vivek,m,444522623594    ,63,1,103,1,35,0,179000,0.9,136,1,10,212,1.1,0.5,191,37,41,7.7,4.3,76,14.9,4700,5.4,150,4.8
yash mittal,m,901867430556    ,62,0,61,1,38,1,155000,1.1,143,1,10,169,2.4,1,340,25,21,8.3,4.5,60,14.3,8300,5.8,135,5
yogesh,m,827633895888    ,55,0,1820,0,38,0,270000,1.2,139,0,12,187,0.6,0.2,202,78,41,8,3.9,70,15,9600,6.5,150,3.6
yogita,m,222372835653    ,45,0,2060,1,60,0,742000,0.8,138,0,12,197,0.9,0.3,234,16,19,7.9,4,70,16.8,6300,5.9,140,5
lalit kathuriya,m,543129409177    ,45,0,2413,0,38,0,140000,1.4,140,1,10,176,0.9,0.3,159,24,25,6.9,4.4,60,15.8,7700,5.2,146,4.9
rahul,m,684711355713    ,50,0,196,0,45,0,395000,1.6,136,1,14,241,1.1,0.3,190,26,15,7.9,3.8,60,13.5,8600,4.9,135,4.5
